,Number of trajectories,AUROC,AUPR,state estimator
10,11,0.9811555555555556,0.8297942471823756,exact update
11,12,0.9920444444444445,0.9282473591757794,exact update
12,13,0.9825777777777778,0.8642224926382864,exact update
13,14,0.9870222222222222,0.8853049947570663,exact update
14,15,0.9904444444444445,0.9171838187603464,exact update
15,16,0.9808444444444445,0.8679990859223248,exact update
16,17,0.9924888888888889,0.945427556258283,exact update
17,18,0.9924444444444445,0.9264028140290101,exact update
18,19,0.9927555555555555,0.9384871821251268,exact update
19,20,0.9980888888888889,0.9843292104101898,exact update
20,21,0.9969777777777777,0.981047934445476,exact update
21,22,0.9960888888888889,0.9749634691921268,exact update
22,23,0.9965777777777778,0.9746926853445748,exact update
23,24,0.9973333333333333,0.9769117797107536,exact update
24,25,0.9990666666666667,0.9925426663600336,exact update
25,26,0.9950222222222223,0.9623211159725904,exact update
26,27,0.9983555555555556,0.9876652305878229,exact update
27,28,0.9997333333333334,0.9978376623376624,exact update
28,29,0.9987999999999999,0.9927081990691013,exact update
29,30,0.9992,0.9926807646182213,exact update
0,1,0.7932888888888889,0.31950081505101385,exact update
1,2,0.8631555555555556,0.40555907166325833,exact update
2,3,0.8664888888888889,0.44886407217921037,exact update
3,4,0.9147111111111111,0.5886346755452737,exact update
4,5,0.9374222222222222,0.6629283081081113,exact update
5,6,0.9394666666666667,0.631938024962728,exact update
6,7,0.9432888888888888,0.6903661886379736,exact update
7,8,0.9409777777777778,0.7036577801987942,exact update
8,9,0.9464,0.6425825441978088,exact update
9,10,0.9605333333333334,0.7345545106285783,exact update
10,11,0.9564444444444444,0.7547493699893195,exact update
11,12,0.9670222222222222,0.7611515182108993,exact update
12,13,0.9742222222222222,0.8350799339650625,exact update
13,14,0.9662222222222222,0.7381608892971867,exact update
14,15,0.9692888888888889,0.7911741963979357,exact update
15,16,0.9792444444444444,0.8294687438137087,exact update
16,17,0.9709333333333334,0.8014646521833181,exact update
17,18,0.9783999999999999,0.8705306116687949,exact update
18,19,0.9846666666666666,0.8511758666548498,exact update
19,20,0.9795555555555556,0.8426974057030447,exact update
20,21,0.9898666666666667,0.9226064044510626,exact update
21,22,0.9858666666666667,0.885676658477512,exact update
22,23,0.9853333333333334,0.9039152878265336,exact update
23,24,0.9841777777777778,0.8712583044924459,exact update
24,25,0.9952444444444445,0.9661105982586332,exact update
25,26,0.9910666666666667,0.9214802171052386,exact update
26,27,0.9932,0.9482186425372235,exact update
27,28,0.9934222222222222,0.9506980856125837,exact update
28,29,0.9978222222222222,0.9824888726352969,exact update
29,30,0.9931111111111112,0.9512733194868477,exact update
0,1,0.8124666666666667,0.29710622275218557,exact update
1,2,0.8823111111111112,0.3926604693575339,exact update
2,3,0.8938666666666667,0.46316739019929665,exact update
3,4,0.9090666666666666,0.535326456867825,exact update
4,5,0.9344,0.571728406985491,exact update
5,6,0.9408888888888889,0.5748591104950843,exact update
6,7,0.9372444444444445,0.482271111674396,exact update
7,8,0.9614222222222222,0.7213553821247716,exact update
8,9,0.9556,0.7017713690572139,exact update
9,10,0.9547111111111111,0.6587283623724717,exact update
10,11,0.9500888888888889,0.6841913909690162,exact update
11,12,0.9682666666666666,0.7354273023391722,exact update
12,13,0.9613333333333334,0.7363771943355125,exact update
13,14,0.9556,0.5948563952184809,exact update
14,15,0.9698222222222221,0.7454884638429731,exact update
15,16,0.9761333333333333,0.7810497242796657,exact update
16,17,0.9772000000000001,0.8037005766134291,exact update
17,18,0.9714222222222222,0.8051437671167321,exact update
18,19,0.9742666666666666,0.7699757833237765,exact update
19,20,0.9772444444444444,0.8265633858137649,exact update
20,21,0.9832000000000001,0.8640879842779461,exact update
21,22,0.9823999999999999,0.8521868160015464,exact update
22,23,0.9772000000000001,0.8031718039752704,exact update
23,24,0.9781333333333333,0.7729147602072383,exact update
24,25,0.9790222222222222,0.8497615291185769,exact update
25,26,0.9891555555555556,0.9152882755355825,exact update
26,27,0.9879555555555555,0.8964304373056037,exact update
27,28,0.9881777777777777,0.9161616210458327,exact update
28,29,0.9858222222222222,0.8713562493249712,exact update
29,30,0.9910666666666668,0.9236121484131572,exact update
0,1,0.8112444444444444,0.3300960558844084,exact update
1,2,0.862311111111111,0.477788620615705,exact update
2,3,0.9057777777777778,0.5577282083940316,exact update
3,4,0.914711111111111,0.5976499385959683,exact update
4,5,0.9528888888888888,0.7010851322043055,exact update
5,6,0.9500444444444445,0.771914649664901,exact update
6,7,0.9648000000000001,0.8082351840623322,exact update
7,8,0.9610666666666666,0.7847574831592945,exact update
8,9,0.9845333333333333,0.8815664966824899,exact update
9,10,0.9805777777777778,0.877221595753132,exact update
10,11,0.9747111111111111,0.8207341114224279,exact update
11,12,0.9873333333333333,0.9091475951228736,exact update
12,13,0.9875111111111111,0.928517092364569,exact update
13,14,0.9941777777777778,0.9507052308765875,exact update
14,15,0.9972444444444444,0.9768115928451258,exact update
15,16,0.9949333333333333,0.9605337556151117,exact update
16,17,0.9916888888888888,0.9605254769371768,exact update
17,18,0.9979555555555556,0.9773885606818901,exact update
18,19,0.9985777777777778,0.9902243374300035,exact update
19,20,0.9992444444444445,0.9933614556521608,exact update
20,21,0.9995555555555556,0.996147080270998,exact update
