,Number of trajectories,AUROC,AUPR,state estimator
20,21,0.9986666666666667,0.9893699103404971,exact update
21,22,0.9950666666666667,0.9665294520874615,exact update
22,23,0.9976444444444444,0.9808674017318898,exact update
23,24,0.998,0.9842386342974427,exact update
24,25,0.9970222222222223,0.9780739741541593,exact update
25,26,0.9989777777777779,0.9907890997800042,exact update
26,27,0.9987555555555556,0.9916561979962415,exact update
27,28,0.9992888888888889,0.9943063070634273,exact update
28,29,0.9999111111111111,0.9991998399359744,exact update
29,30,0.9995555555555555,0.9964006842846032,exact update
0,1,0.7932888888888889,0.31950081505101385,exact update
1,2,0.832,0.39448550369103386,exact update
2,3,0.9024,0.5231824329620488,exact update
3,4,0.9077777777777778,0.604202149517296,exact update
4,5,0.9242222222222223,0.6046225076903293,exact update
5,6,0.9336444444444444,0.6217708777814328,exact update
6,7,0.9305777777777777,0.5888367148071407,exact update
7,8,0.9598666666666666,0.7094326796092907,exact update
8,9,0.9422666666666667,0.6597735328297403,exact update
9,10,0.9682666666666666,0.7771816938355617,exact update
10,11,0.9616444444444445,0.7559873178601805,exact update
11,12,0.9702222222222222,0.7745539428401719,exact update
12,13,0.9723555555555556,0.8249874464100557,exact update
13,14,0.9739111111111112,0.8136353931106135,exact update
14,15,0.9806222222222223,0.8435781747258362,exact update
15,16,0.9758666666666667,0.8419469522628062,exact update
16,17,0.9823555555555556,0.872935000430893,exact update
17,18,0.9837333333333333,0.884455403123939,exact update
18,19,0.977111111111111,0.8122943799245439,exact update
19,20,0.9876444444444444,0.8982613571255778,exact update
20,21,0.9706222222222222,0.8124116447719141,exact update
21,22,0.9929333333333333,0.9499552950698831,exact update
22,23,0.9847111111111111,0.8880452427455957,exact update
23,24,0.9933333333333334,0.952999020446845,exact update
24,25,0.9873777777777778,0.9149840567955944,exact update
25,26,0.9909333333333333,0.9409615111800682,exact update
26,27,0.9951555555555556,0.9633983601985592,exact update
27,28,0.9961333333333333,0.9631204677649915,exact update
28,29,0.9984444444444445,0.9868166255793807,exact update
29,30,0.9984444444444445,0.9861393634751447,exact update
0,1,0.8124666666666667,0.29710622275218557,exact update
1,2,0.8514222222222222,0.3617959118484485,exact update
2,3,0.8825777777777777,0.446958850815696,exact update
3,4,0.9289333333333333,0.5703002103357813,exact update
4,5,0.9244444444444444,0.5008478380428797,exact update
5,6,0.9384888888888888,0.6253484161470846,exact update
6,7,0.9464,0.6648283973055406,exact update
7,8,0.9476888888888889,0.6088580836986676,exact update
8,9,0.9623111111111111,0.70559776582463,exact update
9,10,0.9636,0.7215315928213409,exact update
10,11,0.964,0.7105133823539782,exact update
11,12,0.9692888888888889,0.7245622642120187,exact update
12,13,0.9628000000000001,0.7357977993002827,exact update
13,14,0.9693777777777778,0.750995811238375,exact update
14,15,0.9776888888888888,0.8104228097368591,exact update
15,16,0.9700444444444445,0.7708617931566623,exact update
16,17,0.9820444444444444,0.8600470446172864,exact update
17,18,0.9777333333333333,0.8363936227192835,exact update
18,19,0.9693333333333334,0.7334716429319399,exact update
19,20,0.9712000000000001,0.7662827597148146,exact update
20,21,0.9768888888888889,0.8161319867977423,exact update
21,22,0.9819555555555556,0.7885810546354075,exact update
22,23,0.9818222222222222,0.8361452548960009,exact update
23,24,0.9822222222222222,0.8477703109055987,exact update
24,25,0.9812,0.8031792730554428,exact update
25,26,0.9795111111111111,0.8096596863661669,exact update
26,27,0.9844444444444445,0.888952429268046,exact update
27,28,0.9845333333333334,0.8749734930933437,exact update
28,29,0.9858666666666667,0.8794059248310659,exact update
29,30,0.9869333333333334,0.9041906134684832,exact update
0,1,0.684088888888889,0.2160908076373774,particle filter
1,2,0.7684888888888889,0.33700613333398055,particle filter
2,3,0.8011555555555555,0.3246229364590452,particle filter
3,4,0.7798666666666666,0.34390262643874747,particle filter
4,5,0.8502666666666667,0.40713607157643544,particle filter
5,6,0.8741777777777777,0.4562785720308892,particle filter
6,7,0.899111111111111,0.5093097077318549,particle filter
7,8,0.9173333333333333,0.6188566986883886,particle filter
8,9,0.9406666666666667,0.6526280785852508,particle filter
9,10,0.925111111111111,0.6930480878516013,particle filter
10,11,0.9404444444444444,0.6804314945689022,particle filter
11,12,0.9593777777777779,0.7691110405930927,particle filter
12,13,0.9488444444444445,0.686667069915431,particle filter
13,14,0.9548888888888889,0.6659818502689913,particle filter
14,15,0.9740444444444445,0.7853604140940686,particle filter
15,16,0.9688888888888889,0.7795863795518019,particle filter
16,17,0.9729777777777778,0.7928334188009317,particle filter
17,18,0.9799555555555555,0.8638745685816458,particle filter
18,19,0.9731555555555556,0.8055938197922817,particle filter
19,20,0.9842222222222222,0.8663135275604769,particle filter
20,21,0.9756444444444444,0.8165542673226913,particle filter
21,22,0.9767555555555556,0.8144359067158754,particle filter
22,23,0.9877333333333334,0.8980483628607742,particle filter
23,24,0.9899111111111112,0.8831542750584768,particle filter
24,25,0.9888888888888889,0.911799912261548,particle filter
25,26,0.9868,0.9057371329145463,particle filter
26,27,0.9939555555555556,0.9412660860549162,particle filter
27,28,0.9887555555555555,0.9420873913896146,particle filter
