,Number of trajectories,AUROC,AUPR,$p_{e}$
4,5,0.7452000000000001,0.28232351212344353,0.1
5,6,0.8522666666666667,0.46548216212074506,0.1
6,7,0.8705777777777778,0.5316957896044854,0.1
7,8,0.9043111111111111,0.6362999958325238,0.1
8,9,0.8996444444444445,0.6235706959416686,0.1
9,10,0.8947111111111111,0.6339956575619462,0.1
10,11,0.9438222222222222,0.7546833637632654,0.1
11,12,0.9239111111111111,0.6867325024840278,0.1
12,13,0.9411555555555555,0.7163701055652146,0.1
13,14,0.9548444444444444,0.8123064392336918,0.1
14,15,0.9386666666666666,0.7674323278068472,0.1
15,16,0.9581333333333334,0.7722198523322567,0.1
16,17,0.955111111111111,0.849044576421989,0.1
17,18,0.976088888888889,0.8912145063354552,0.1
18,19,0.9812444444444445,0.8802571460776716,0.1
19,20,0.9835555555555555,0.8873615078808297,0.1
20,21,0.9882222222222222,0.9115108083014937,0.1
21,22,0.9765333333333334,0.8909495129345579,0.1
22,23,0.986088888888889,0.9206455780827947,0.1
23,24,0.9863999999999999,0.9060464105942161,0.1
24,25,0.9847999999999999,0.9162088252649123,0.1
25,26,0.9930222222222223,0.955466934862367,0.1
26,27,0.9964888888888889,0.9752359191066915,0.1
27,28,0.9937777777777778,0.9571216227225292,0.1
28,29,0.9905333333333333,0.9420385669544435,0.1
29,30,0.9966666666666666,0.9769164821044327,0.1
0,1,0.6438222222222222,0.18647035517124305,0.1
1,2,0.682,0.22753351909870323,0.1
2,3,0.7515555555555556,0.2558182597919255,0.1
3,4,0.8348444444444444,0.5256461423689909,0.1
4,5,0.8040444444444445,0.3857125349854074,0.1
5,6,0.8148888888888889,0.4587522349064101,0.1
6,7,0.8341777777777778,0.3781806509853008,0.1
7,8,0.8753777777777778,0.4964970351082885,0.1
8,9,0.9001777777777777,0.5972145552720886,0.1
9,10,0.9372444444444444,0.6808677672682152,0.1
10,11,0.9135555555555555,0.657936783173674,0.1
11,12,0.9563555555555555,0.743423765059656,0.1
