,Number of trajectories,AUROC,AUPR,prior
27,28,0.9994222222222223,0.9956932213816252,informative prior
28,29,0.9997777777777778,0.99798563186322,informative prior
29,30,0.9989333333333333,0.9926439862901684,informative prior
0,1,0.7498222222222223,0.4002670983106602,informative prior
1,2,0.8714666666666666,0.5828951371796274,informative prior
2,3,0.8762222222222222,0.6825649522109765,informative prior
3,4,0.8838666666666666,0.6097970368731095,informative prior
4,5,0.9736888888888888,0.8753439178480364,informative prior
5,6,0.9508888888888889,0.8166487620674742,informative prior
6,7,0.9770222222222222,0.8957024435084026,informative prior
7,8,0.9607111111111112,0.8137988247611684,informative prior
8,9,0.9690222222222222,0.8833862846876309,informative prior
9,10,0.9865777777777778,0.9097161869230184,informative prior
10,11,0.9802222222222222,0.9168092517268713,informative prior
11,12,0.9936888888888888,0.9630489943311835,informative prior
12,13,0.9942222222222222,0.9720345317547968,informative prior
13,14,0.9989777777777779,0.9919151559236701,informative prior
14,15,0.9956888888888888,0.9734873771549748,informative prior
15,16,0.9986222222222222,0.9893829244392723,informative prior
16,17,0.9966222222222222,0.976736195550616,informative prior
17,18,0.9984444444444444,0.98865483155257,informative prior
18,19,0.9997777777777778,0.9979361684174133,informative prior
19,20,0.9996444444444444,0.9968788711586156,informative prior
20,21,0.9968888888888889,0.9835430462352653,informative prior
21,22,0.9992444444444445,0.9944251194067371,informative prior
22,23,0.9997333333333333,0.9976918808161872,informative prior
23,24,0.9996888888888888,0.9975219298245614,informative prior
24,25,0.9992444444444444,0.9948869289914066,informative prior
25,26,0.9997777777777779,0.9981004606454742,informative prior
26,27,0.999688888888889,0.9974335807050092,informative prior
27,28,1.0,1.0,informative prior
28,29,0.9998222222222223,0.9985045422781273,informative prior
29,30,1.0,1.0,informative prior
0,1,0.7312444444444444,0.2036076490876125,informative prior
1,2,0.7790222222222222,0.21884441571480256,informative prior
2,3,0.8042666666666668,0.3379982355481111,informative prior
3,4,0.8347555555555555,0.32012864211645564,informative prior
4,5,0.8801777777777777,0.4389393166470119,informative prior
5,6,0.8859111111111112,0.45719534404112816,informative prior
6,7,0.8997333333333333,0.4957557536505878,informative prior
7,8,0.9314222222222223,0.5931442494801888,informative prior
8,9,0.9424888888888888,0.58375179907815,informative prior
9,10,0.8938666666666666,0.4924365864700129,informative prior
10,11,0.9494666666666667,0.631565323171994,informative prior
11,12,0.9462222222222222,0.6491812261036276,informative prior
12,13,0.9656,0.6716537222479357,informative prior
13,14,0.9615111111111111,0.7004593243076328,informative prior
14,15,0.9607555555555556,0.7140597804597731,informative prior
15,16,0.9613777777777779,0.6921417253363361,informative prior
16,17,0.9728888888888889,0.8317982600631562,informative prior
17,18,0.9730222222222222,0.8332666277415797,informative prior
18,19,0.9705333333333334,0.7592091060760755,informative prior
19,20,0.9762222222222222,0.8125137389138787,informative prior
20,21,0.9748888888888889,0.8006440248593785,informative prior
21,22,0.9786666666666666,0.8386201865266292,informative prior
22,23,0.9884444444444445,0.8826657250769316,informative prior
23,24,0.9807555555555556,0.8557477275107204,informative prior
24,25,0.9825777777777778,0.8460439664320696,informative prior
25,26,0.9868444444444444,0.8963879676787767,informative prior
26,27,0.9805777777777778,0.8480689187206796,informative prior
27,28,0.9926222222222222,0.9465308083442153,informative prior
28,29,0.9878222222222222,0.904788814775502,informative prior
