,Number of trajectories,AUROC,AUPR,prior
11,12,0.9745333333333334,0.8221129335659285,noninformative prior
12,13,0.9634666666666667,0.7726566392664793,noninformative prior
13,14,0.9770222222222222,0.8108012889749274,noninformative prior
14,15,0.974088888888889,0.8106729964939358,noninformative prior
15,16,0.9827999999999999,0.8361617218008786,noninformative prior
16,17,0.9827111111111111,0.8795067837608419,noninformative prior
17,18,0.9765777777777778,0.8159980389980682,noninformative prior
18,19,0.9862666666666666,0.8951325601336391,noninformative prior
19,20,0.9897333333333332,0.9153658577878951,noninformative prior
20,21,0.9916,0.9146009618626587,noninformative prior
21,22,0.9889333333333333,0.9302558013364013,noninformative prior
22,23,0.9963111111111111,0.9636850142501907,noninformative prior
23,24,0.9888888888888889,0.932986586375667,noninformative prior
24,25,0.9944444444444445,0.9588568091729208,noninformative prior
25,26,0.9954222222222222,0.9634665256222629,noninformative prior
26,27,0.9992444444444445,0.993380855707233,noninformative prior
27,28,0.9982222222222222,0.986778949240174,noninformative prior
28,29,0.9961777777777778,0.963648474383044,noninformative prior
29,30,0.9977777777777778,0.98036216076592,noninformative prior
0,1,0.7357111111111111,0.2681007415818724,noninformative prior
1,2,0.8036,0.40053850201257346,noninformative prior
2,3,0.8617333333333334,0.5190062071754317,noninformative prior
3,4,0.8790666666666667,0.5586376245763801,noninformative prior
4,5,0.8688444444444445,0.5297054403198849,noninformative prior
5,6,0.9297777777777778,0.7009604516403685,noninformative prior
6,7,0.9731111111111111,0.8369086381035996,noninformative prior
7,8,0.9264888888888889,0.7730214920029612,noninformative prior
8,9,0.9578222222222221,0.8153936929102924,noninformative prior
9,10,0.9790222222222222,0.8725898659140734,noninformative prior
10,11,0.9884444444444445,0.9243221253036532,noninformative prior
11,12,0.9878222222222223,0.9290025605741079,noninformative prior
12,13,0.9751555555555556,0.8803749547561426,noninformative prior
13,14,0.9958222222222222,0.9696731401110575,noninformative prior
14,15,0.9836444444444444,0.9195917886565258,noninformative prior
15,16,0.998,0.9841819352276242,noninformative prior
16,17,0.9889333333333333,0.9518235237785564,noninformative prior
17,18,0.9988444444444444,0.9913399622739245,noninformative prior
18,19,0.9946666666666666,0.9631519752978306,noninformative prior
19,20,0.9968,0.9781339943724232,noninformative prior
20,21,0.9992444444444445,0.9934650235587708,noninformative prior
21,22,1.0,1.0,noninformative prior
22,23,0.9996444444444444,0.9969269689411001,noninformative prior
23,24,1.0,1.0,noninformative prior
24,25,1.0,1.0,noninformative prior
25,26,0.9996,0.996568179561778,noninformative prior
26,27,1.0,1.0,noninformative prior
27,28,0.9996888888888888,0.9975219298245614,noninformative prior
28,29,1.0,1.0,noninformative prior
29,30,1.0,1.0,noninformative prior
0,1,0.7445333333333334,0.2742250898043703,noninformative prior
1,2,0.8044888888888889,0.3662489268194804,noninformative prior
2,3,0.873688888888889,0.5129795442688568,noninformative prior
3,4,0.8664888888888889,0.5083737634186974,noninformative prior
4,5,0.9187111111111111,0.7114447505460137,noninformative prior
5,6,0.9239111111111111,0.6387628183110212,noninformative prior
6,7,0.9136444444444444,0.6644099182124216,noninformative prior
7,8,0.9473333333333334,0.7494106990571401,noninformative prior
8,9,0.9671111111111111,0.8031538845046653,noninformative prior
9,10,0.9658666666666667,0.8288359974509436,noninformative prior
10,11,0.9656,0.8249099178857651,noninformative prior
11,12,0.9804888888888889,0.879261737356184,noninformative prior
12,13,0.9930666666666667,0.9415183871689434,noninformative prior
13,14,0.9725333333333332,0.8966119561349808,noninformative prior
14,15,0.9900888888888889,0.9184584296333929,noninformative prior
15,16,0.9827111111111111,0.9115900094651072,noninformative prior
16,17,0.9912000000000001,0.9361514426651647,noninformative prior
17,18,0.9964888888888889,0.9706403297100182,noninformative prior
18,19,0.9979111111111111,0.9825324278307461,noninformative prior
19,20,0.9943555555555555,0.9559378165795694,noninformative prior
20,21,0.9976888888888888,0.9812085034880171,noninformative prior
21,22,0.9955111111111111,0.960445139779475,noninformative prior
22,23,0.9955111111111111,0.974589750877342,noninformative prior
23,24,0.9988444444444444,0.990231687365559,noninformative prior
24,25,0.998,0.9828167132692945,noninformative prior
25,26,0.9992888888888889,0.995114219114219,noninformative prior
26,27,0.9994666666666666,0.995846261216351,noninformative prior
27,28,0.9998666666666667,0.9988191461199866,noninformative prior
28,29,0.9996444444444444,0.9969273872755637,noninformative prior
29,30,0.9996,0.9966330905089309,noninformative prior
