,b1,b2,b3,b4
216,0.0,0.18,0.8099999999999999,0.01000000000000012
217,0.0,0.21,0.0,0.79
218,0.0,0.21,0.03,0.76
219,0.0,0.21,0.06,0.73
220,0.0,0.21,0.09,0.7000000000000001
221,0.0,0.21,0.12,0.67
222,0.0,0.21,0.15,0.64
223,0.0,0.21,0.18,0.6100000000000001
224,0.0,0.21,0.21,0.5800000000000001
225,0.0,0.21,0.24,0.55
226,0.0,0.21,0.27,0.52
227,0.0,0.21,0.3,0.49000000000000005
228,0.0,0.21,0.32999999999999996,0.4600000000000001
229,0.0,0.21,0.36,0.43000000000000005
230,0.0,0.21,0.39,0.4
231,0.0,0.21,0.42,0.37000000000000005
232,0.0,0.21,0.44999999999999996,0.3400000000000001
233,0.0,0.21,0.48,0.31000000000000005
234,0.0,0.21,0.51,0.28
235,0.0,0.21,0.54,0.25
236,0.0,0.21,0.57,0.22000000000000008
237,0.0,0.21,0.6,0.19000000000000006
238,0.0,0.21,0.63,0.16000000000000003
239,0.0,0.21,0.6599999999999999,0.13000000000000012
240,0.0,0.21,0.69,0.10000000000000009
241,0.0,0.21,0.72,0.07000000000000006
242,0.0,0.21,0.75,0.040000000000000036
243,0.0,0.21,0.78,0.010000000000000009
244,0.0,0.24,0.0,0.76
245,0.0,0.24,0.03,0.73
246,0.0,0.24,0.06,0.7
247,0.0,0.24,0.09,0.67
248,0.0,0.24,0.12,0.64
249,0.0,0.24,0.15,0.61
250,0.0,0.24,0.18,0.5800000000000001
251,0.0,0.24,0.21,0.55
252,0.0,0.24,0.24,0.52
253,0.0,0.24,0.27,0.49
254,0.0,0.24,0.3,0.46
255,0.0,0.24,0.32999999999999996,0.43000000000000005
256,0.0,0.24,0.36,0.4
257,0.0,0.24,0.39,0.37
258,0.0,0.24,0.42,0.34
259,0.0,0.24,0.44999999999999996,0.31000000000000005
260,0.0,0.24,0.48,0.28
261,0.0,0.24,0.51,0.25
262,0.0,0.24,0.54,0.21999999999999997
263,0.0,0.24,0.57,0.19000000000000006
264,0.0,0.24,0.6,0.16000000000000003
265,0.0,0.24,0.63,0.13
266,0.0,0.24,0.6599999999999999,0.10000000000000009
267,0.0,0.24,0.69,0.07000000000000006
268,0.0,0.24,0.72,0.040000000000000036
269,0.0,0.24,0.75,0.010000000000000009
270,0.0,0.27,0.0,0.73
271,0.0,0.27,0.03,0.7
272,0.0,0.27,0.06,0.6699999999999999
273,0.0,0.27,0.09,0.64
274,0.0,0.27,0.12,0.61
275,0.0,0.27,0.15,0.58
276,0.0,0.27,0.18,0.55
277,0.0,0.27,0.21,0.52
278,0.0,0.27,0.24,0.49
279,0.0,0.27,0.27,0.45999999999999996
280,0.0,0.27,0.3,0.43
281,0.0,0.27,0.32999999999999996,0.4
282,0.0,0.27,0.36,0.37
283,0.0,0.27,0.39,0.33999999999999997
284,0.0,0.27,0.42,0.31
285,0.0,0.27,0.44999999999999996,0.28
286,0.0,0.27,0.48,0.25
287,0.0,0.27,0.51,0.21999999999999997
288,0.0,0.27,0.54,0.18999999999999995
289,0.0,0.27,0.57,0.16000000000000003
290,0.0,0.27,0.6,0.13
291,0.0,0.27,0.63,0.09999999999999998
292,0.0,0.27,0.6599999999999999,0.07000000000000006
293,0.0,0.27,0.69,0.040000000000000036
294,0.0,0.27,0.72,0.010000000000000009
295,0.0,0.3,0.0,0.7
296,0.0,0.3,0.03,0.6699999999999999
297,0.0,0.3,0.06,0.6399999999999999
298,0.0,0.3,0.09,0.61
299,0.0,0.3,0.12,0.58
300,0.0,0.3,0.15,0.5499999999999999
301,0.0,0.3,0.18,0.52
302,0.0,0.3,0.21,0.49
303,0.0,0.3,0.24,0.45999999999999996
304,0.0,0.3,0.27,0.42999999999999994
305,0.0,0.3,0.3,0.39999999999999997
306,0.0,0.3,0.32999999999999996,0.37
307,0.0,0.3,0.36,0.33999999999999997
308,0.0,0.3,0.39,0.30999999999999994
309,0.0,0.3,0.42,0.27999999999999997
310,0.0,0.3,0.44999999999999996,0.25
311,0.0,0.3,0.48,0.21999999999999997
312,0.0,0.3,0.51,0.18999999999999995
313,0.0,0.3,0.54,0.15999999999999992
314,0.0,0.3,0.57,0.13
315,0.0,0.3,0.6,0.09999999999999998
316,0.0,0.3,0.63,0.06999999999999995
317,0.0,0.3,0.6599999999999999,0.040000000000000036
318,0.0,0.3,0.69,0.010000000000000009
319,0.0,0.32999999999999996,0.0,0.67
320,0.0,0.32999999999999996,0.03,0.64
321,0.0,0.32999999999999996,0.06,0.6100000000000001
322,0.0,0.32999999999999996,0.09,0.5800000000000001
323,0.0,0.32999999999999996,0.12,0.55
324,0.0,0.32999999999999996,0.15,0.52
325,0.0,0.32999999999999996,0.18,0.49000000000000005
326,0.0,0.32999999999999996,0.21,0.4600000000000001
327,0.0,0.32999999999999996,0.24,0.43000000000000005
328,0.0,0.32999999999999996,0.27,0.4
329,0.0,0.32999999999999996,0.3,0.37000000000000005
330,0.0,0.32999999999999996,0.32999999999999996,0.3400000000000001
331,0.0,0.32999999999999996,0.36,0.31000000000000005
332,0.0,0.32999999999999996,0.39,0.28
333,0.0,0.32999999999999996,0.42,0.25000000000000006
334,0.0,0.32999999999999996,0.44999999999999996,0.22000000000000008
335,0.0,0.32999999999999996,0.48,0.19000000000000006
336,0.0,0.32999999999999996,0.51,0.16000000000000003
337,0.0,0.32999999999999996,0.54,0.13
338,0.0,0.32999999999999996,0.57,0.10000000000000009
339,0.0,0.32999999999999996,0.6,0.07000000000000006
340,0.0,0.32999999999999996,0.63,0.040000000000000036
341,0.0,0.32999999999999996,0.6599999999999999,0.01000000000000012
342,0.0,0.36,0.0,0.64
343,0.0,0.36,0.03,0.61
344,0.0,0.36,0.06,0.5800000000000001
345,0.0,0.36,0.09,0.55
346,0.0,0.36,0.12,0.52
347,0.0,0.36,0.15,0.49
348,0.0,0.36,0.18,0.46
349,0.0,0.36,0.21,0.43000000000000005
350,0.0,0.36,0.24,0.4
351,0.0,0.36,0.27,0.37
352,0.0,0.36,0.3,0.34
353,0.0,0.36,0.32999999999999996,0.31000000000000005
354,0.0,0.36,0.36,0.28
355,0.0,0.36,0.39,0.25
356,0.0,0.36,0.42,0.22000000000000003
357,0.0,0.36,0.44999999999999996,0.19000000000000006
358,0.0,0.36,0.48,0.16000000000000003
359,0.0,0.36,0.51,0.13
360,0.0,0.36,0.54,0.09999999999999998
361,0.0,0.36,0.57,0.07000000000000006
362,0.0,0.36,0.6,0.040000000000000036
363,0.0,0.36,0.63,0.010000000000000009
364,0.0,0.39,0.0,0.61
365,0.0,0.39,0.03,0.58
366,0.0,0.39,0.06,0.55
367,0.0,0.39,0.09,0.52
368,0.0,0.39,0.12,0.49
369,0.0,0.39,0.15,0.45999999999999996
370,0.0,0.39,0.18,0.43
371,0.0,0.39,0.21,0.4
372,0.0,0.39,0.24,0.37
373,0.0,0.39,0.27,0.33999999999999997
374,0.0,0.39,0.3,0.31
375,0.0,0.39,0.32999999999999996,0.28
376,0.0,0.39,0.36,0.25
377,0.0,0.39,0.39,0.21999999999999997
378,0.0,0.39,0.42,0.19
379,0.0,0.39,0.44999999999999996,0.16000000000000003
380,0.0,0.39,0.48,0.13
381,0.0,0.39,0.51,0.09999999999999998
382,0.0,0.39,0.54,0.06999999999999995
383,0.0,0.39,0.57,0.040000000000000036
