,X,Y,Z,W,Q,T,time,experiment
45,1.0,0.0,0.0,0.0,1.0,0.0,16.282133683333193,2
46,1.0,1.0,0.0,0.0,1.0,0.0,16.634476963148995,2
47,1.0,1.0,0.0,0.0,1.0,1.0,16.892920134513073,2
48,1.0,0.0,0.0,0.0,1.0,1.0,17.056433938720296,2
49,1.0,0.0,0.0,0.0,0.0,1.0,17.601310987633877,2
50,1.0,0.0,0.0,0.0,1.0,1.0,18.01893747495453,2
51,1.0,0.0,0.0,0.0,1.0,0.0,18.249944976394016,2
52,1.0,0.0,0.0,1.0,1.0,0.0,18.609333403848776,2
53,1.0,0.0,0.0,0.0,1.0,0.0,18.614393548105706,2
54,1.0,0.0,0.0,0.0,0.0,0.0,18.728827546384643,2
55,1.0,0.0,1.0,0.0,0.0,0.0,18.87683313616563,2
56,1.0,1.0,1.0,0.0,0.0,0.0,18.908487053891747,2
57,1.0,1.0,1.0,0.0,0.0,1.0,18.96723310551241,2
58,0.0,1.0,1.0,0.0,0.0,1.0,19.02569466076143,2
59,0.0,1.0,1.0,0.0,0.0,0.0,19.14198401366024,2
60,0.0,1.0,1.0,0.0,1.0,0.0,19.26404429976166,2
61,0.0,1.0,1.0,0.0,1.0,1.0,19.35640676504425,2
62,0.0,0.0,1.0,0.0,1.0,1.0,19.679112291395956,2
63,0.0,0.0,1.0,1.0,1.0,1.0,19.719124519441614,2
64,0.0,0.0,1.0,1.0,0.0,1.0,20.043754039329123,2
65,0.0,0.0,1.0,1.0,0.0,0.0,20.125058984635977,2
66,0.0,0.0,0.0,1.0,0.0,0.0,20.189474082826344,2
67,1.0,0.0,0.0,1.0,0.0,0.0,20.48505328662861,2
68,0.0,0.0,0.0,1.0,0.0,0.0,20.822165293709517,2
69,1.0,0.0,0.0,1.0,0.0,0.0,20.89736082580049,2
70,1.0,0.0,0.0,0.0,0.0,0.0,20.923496587428403,2
71,1.0,0.0,0.0,0.0,0.0,1.0,21.673572351772876,2
72,1.0,0.0,1.0,0.0,0.0,1.0,21.798522858383542,2
73,1.0,0.0,1.0,0.0,0.0,0.0,21.96906483981963,2
74,1.0,0.0,1.0,0.0,0.0,1.0,22.115020782798368,2
75,0.0,0.0,1.0,0.0,0.0,1.0,22.59127811001034,2
76,0.0,0.0,1.0,0.0,1.0,1.0,22.879350437501177,2
77,0.0,0.0,1.0,0.0,1.0,0.0,23.53566788795418,2
78,0.0,0.0,1.0,1.0,1.0,0.0,23.674874507205896,2
79,0.0,0.0,1.0,1.0,0.0,0.0,23.8287600129376,2
80,0.0,0.0,1.0,0.0,0.0,0.0,23.844526059091866,2
81,0.0,0.0,1.0,1.0,0.0,0.0,24.069381627725516,2
82,0.0,0.0,1.0,0.0,0.0,0.0,24.503686742766995,2
83,1.0,0.0,1.0,0.0,0.0,0.0,25.052051567165574,2
84,0.0,0.0,1.0,0.0,0.0,0.0,25.349623736899442,2
85,0.0,0.0,1.0,1.0,0.0,0.0,25.864508023385863,2
86,0.0,0.0,1.0,1.0,0.0,1.0,25.902553837457248,2
87,0.0,0.0,1.0,1.0,0.0,0.0,26.51341901732404,2
88,1.0,0.0,1.0,1.0,0.0,0.0,26.58172156463731,2
89,1.0,0.0,0.0,1.0,0.0,0.0,26.584113992547675,2
90,1.0,0.0,0.0,1.0,1.0,0.0,26.76112406836904,2
91,1.0,0.0,0.0,0.0,1.0,0.0,26.929745171530858,2
92,1.0,1.0,0.0,0.0,1.0,0.0,28.04934397331626,2
93,0.0,1.0,0.0,0.0,1.0,0.0,28.313457850797143,2
94,0.0,1.0,0.0,0.0,1.0,1.0,28.479994714123144,2
95,0.0,1.0,1.0,0.0,1.0,1.0,28.947461137426405,2
96,1.0,1.0,1.0,0.0,1.0,1.0,29.207599462363493,2
97,1.0,1.0,0.0,0.0,1.0,1.0,29.408748055804356,2
98,1.0,1.0,0.0,1.0,1.0,1.0,30.279964082753665,2
99,1.0,1.0,1.0,1.0,1.0,1.0,30.77059054905746,2
100,1.0,1.0,1.0,1.0,1.0,0.0,30.807846003799114,2
101,0.0,1.0,1.0,1.0,1.0,0.0,31.539783497679803,2
102,0.0,1.0,1.0,1.0,0.0,0.0,32.11490081979669,2
103,0.0,1.0,1.0,1.0,0.0,1.0,33.26059410933561,2
104,0.0,0.0,1.0,1.0,0.0,1.0,33.70768494661784,2
105,0.0,0.0,1.0,0.0,0.0,1.0,33.741795158975314,2
106,0.0,0.0,0.0,0.0,0.0,1.0,33.922955380288165,2
107,0.0,0.0,0.0,1.0,0.0,1.0,34.02072154255492,2
108,0.0,0.0,0.0,1.0,0.0,0.0,34.09047664860437,2
109,0.0,0.0,0.0,0.0,0.0,0.0,34.53576560059583,2
110,1.0,0.0,0.0,0.0,0.0,0.0,34.84313776422042,2
111,1.0,0.0,0.0,1.0,0.0,0.0,34.85502157800886,2
112,1.0,0.0,1.0,1.0,0.0,0.0,35.28841957850018,2
113,1.0,0.0,1.0,0.0,0.0,0.0,35.696741412886226,2
114,1.0,0.0,1.0,0.0,1.0,0.0,36.208334583753,2
115,1.0,0.0,1.0,0.0,0.0,0.0,36.31504503673926,2
116,0.0,0.0,1.0,0.0,0.0,0.0,36.32924150724483,2
117,0.0,0.0,1.0,0.0,1.0,0.0,36.37822126557357,2
118,0.0,0.0,1.0,1.0,1.0,0.0,36.538902593669086,2
119,0.0,0.0,1.0,1.0,0.0,0.0,36.74491081445481,2
120,1.0,0.0,1.0,1.0,0.0,0.0,36.99072826101138,2
121,1.0,0.0,0.0,1.0,0.0,0.0,37.532490475851375,2
122,1.0,0.0,0.0,1.0,1.0,0.0,37.964909277817654,2
123,1.0,0.0,0.0,1.0,0.0,0.0,38.233763055693935,2
124,1.0,0.0,0.0,1.0,1.0,0.0,38.2840285779274,2
125,1.0,0.0,0.0,0.0,1.0,0.0,38.481750867620484,2
126,0.0,0.0,0.0,0.0,1.0,0.0,39.3123759587472,2
127,0.0,0.0,1.0,0.0,1.0,0.0,39.40006194371998,2
128,0.0,0.0,1.0,1.0,1.0,0.0,39.47097737946547,2
129,0.0,0.0,1.0,1.0,1.0,1.0,39.52712126192533,2
130,0.0,0.0,0.0,1.0,1.0,1.0,39.78953943579577,2
131,0.0,0.0,0.0,1.0,0.0,1.0,39.80115409822177,2
132,0.0,0.0,0.0,1.0,0.0,0.0,39.99329124628263,2
133,0.0,0.0,0.0,0.0,0.0,0.0,40.016205289388836,2
134,0.0,0.0,0.0,0.0,1.0,0.0,40.212529992502674,2
135,1.0,0.0,0.0,0.0,1.0,0.0,40.580940399249826,2
136,1.0,0.0,0.0,1.0,1.0,0.0,40.604010376359504,2
137,0.0,0.0,0.0,1.0,1.0,0.0,41.968567543437565,2
138,0.0,0.0,0.0,0.0,1.0,0.0,42.253122970156205,2
139,0.0,0.0,0.0,0.0,1.0,1.0,42.65697170454384,2
140,0.0,0.0,0.0,1.0,1.0,1.0,42.67827738513599,2
141,0.0,0.0,0.0,1.0,1.0,0.0,43.18252907877486,2
142,0.0,0.0,1.0,1.0,1.0,0.0,43.34818235975291,2
143,0.0,0.0,1.0,1.0,0.0,0.0,43.71620169619323,2
144,0.0,0.0,1.0,1.0,0.0,1.0,43.7770868272774,2
145,0.0,0.0,1.0,0.0,0.0,1.0,44.59976614399695,2
146,0.0,0.0,1.0,0.0,0.0,0.0,45.49548278918833,2
147,0.0,0.0,1.0,1.0,0.0,0.0,45.747480361248876,2
148,0.0,0.0,1.0,1.0,0.0,1.0,46.04193230120189,2
149,0.0,0.0,1.0,0.0,0.0,1.0,46.05988861152571,2
